Site Number ,Site Type,Site Status,Primary Descriptor
694550001,Primary,Active,"Esk-Kilcoy Rd, Hazeldean"
694600001,Primary,Active,"Mt Mee Rd, Delaneys Creek"
694600002,Primary,Active,"Mt Mee Rd, Delaneys Creek"
694610001,Primary,Active,"D'Aguilar Hwy, Bracalba"
694610002,Primary,Active,"D'Aguilar Hwy, Wamuran"
694620102,Primary,Active,"D'Aguilar Hwy, Wamuran"
694630301,Primary,Active,"Old Gympie Rd, Caboolture/Elimbah "
694640001,Primary,Active,"Bruce Hwy, Elimbah"
694640601,Primary,Active,"Bigmor Dr, Elimbah"
694650002,Primary,Active,"Pumicestone Rd, Toorbul"
694650003,Primary,Active,"Donnybrook Rd, Donnybrook"
696750001,Primary,Active,"Dalby-Cooyar Rd, Irvingdale/Dalby"
697030001,Primary,Active,"Mt Mee Rd, Mt Mee"
697030002,Primary,Active,"Mt Mee Rd, Mt Mee"
697050001,Primary,Active,"D'Aguilar Hwy, Moodlu"
697052201,Primary,Active,"D'Aguilar Hwy, Wamuran"
697060201,Primary,Active,"Bellmere Rd, Bellmere"
697060301,Primary,Active,"King St, Caboolture"
697060302,Primary,Active,"Lynfield Dr, Caboolture"
697060303,Primary,Active,"Watt St, Caboolture"
697060401,Primary,Active,"Beerburrum Rd, Caboolture"
697060501,Primary,Active,"Lower King St, Caboolture"
697060601,Primary,Active,"King St, Caboolture"
697061201,Primary,Active,"D'Aguilar Hwy, Caboolture"
697061401,Primary,Active,"Pumicestone Rd, Caboolture"
697061501,Primary,Active,"Jensen Rd, Caboolture"
697061502,Primary,Active,"Pumicestone Rd, Caboolture"
697061801,Primary,Active,"Old Gympie Rd, Caboolture"
697061901,Primary,Active,"Dances Rd, Caboolture"
697062301,Primary,Active,"Old Gympie Rd, Caboolture"
697062401,Primary,Active,"Dances Rd, Caboolture"
697070001,Primary,Active,"Old Toorbul Point Rd, Caboolture"
697070002,Primary,Active,"Bribie Island Rd, Caboolture"
697070003,Primary,Active,"Pumicestone Rd, Caboolture/Elimbah"
697070701,Primary,Active,"Bruce Hwy, Caboolture"
697080001,Primary,Active,"Bribie Island Rd, Caboolture"
697080002,Primary,Active,"Bribie Island Rd, Ningi"
697090001,Primary,Active,"Bribie Island Rd, Ningi"
697090002,Primary,Active,"Pumicestone Rd, Toorbul"
697090801,Primary,Active,"Bestmann Rd, Ningi"
697090901,Primary,Active,"Bribie Island Rd, Ningi"
697100401,Primary,Active,"Welsby Pde, Bongaree"
697100502,Primary,Active,"Kangaroo Ave, Bongaree"
697100503,Primary,Active,"Welsby Pde, Bongaree"
697100701,Primary,Active,"Bribie Island Rd, Sandstone Point"
697101001,Primary,Active,"Sunderland Dr, Bellara"
697101801,Primary,Active,"Sunderland Dr, Banksia Beach"
697110001,Primary,Active,"First Ave, Woorim"
699191001,Primary,Active,"Warrego Hwy, Dalby"
699191002,Primary,Active,"Nicholson St, Dalby"
699200201,Primary,Active,"Drayton St (Warrego Hwy), Dalby"
699200701,Primary,Active,"Condamine St, Dalby"
699490001,Primary,Active,"Mt Mee Rd (Brisbane-Woodford Rd), Ocean View/Mount Pleasant"
699500001,Primary,Active,"Mt Mee Rd (Brisbane-Woodford Rd), Ocean View"
699500002,Primary,Active,"Mt Mee Rd (Brisbane-Woodford Rd), Ocean View"
699520002,Primary,Active,"Caboolture River Rd, Moorina/Rocksberg"
699530401,Primary,Active,"Anderson Rd, Morayfield"
699531001,Primary,Active,"Graham Rd, Morayfield"
699531101,Primary,Active,"Thornbill Dr, Upper Caboolture"
699531301,Primary,Active,"Caboolture River Rd, Morayfield"
699531401,Primary,Active,"Morayfield Rd, Morayfield"
699531501,Primary,Active,"Buchanan Rd, Morayfield"
699531801,Primary,Active,"Grant Rd, Caboolture South"
699532101,Primary,Active,"Bellmere Rd, Bellmere"
699532301,Primary,Active,"Grant Rd, Caboolture South"
699532401,Primary,Active,"Morayfield Rd, Caboolture"
699532402,Primary,Active,"Morayfield Rd, Caboolture South"
699540001,Primary,Active,"Bruce Hwy, Morayfield"
699540004,Primary,Active,"Bruce Hwy, Morayfield"
699540201,Public Complaint,Active,"Coach Rd E, Burpengary East"
699540301,Public Complaint,Active,"Buckley Rd, Burpengary East"
699542201,Primary,Active,"Beachmere Rd, Caboolture"
699582201,Primary,Active,"First Ave, Bongaree"
701630001,Primary,Active,"Moonie Hwy, Nandi"
701640001,Primary,Active,"Moonie Hwy, Dalby"
701661901,Primary,Active,"Warrego Hwy, Dalby"
701960001,Primary,Active,"Mt Mee Rd, Oceanview"
701970001,Primary,Active,"Mt Mee Rd (Brisbane-Woodford Rd), King Scrub"
701970003,Primary,Active,"Mt Mee Rd, King Scrub"
701990401,Primary,Active,"Burpengary Rd, Burpengary"
701990501,Primary,Active,"Pitt Rd, Burpengary"
702000201,Primary,Active,"Bruce Hwy Eastern Service Rd, Burpengary East"
702000202,Primary,Active,"Bruce Hwy, Burpengary East"
702001701,Primary,Active,"Buckley Rd, Burpengary East"
702001702,Primary,Active,"Bruce Hwy, Burpengary"
702001801,Stake Holder,Active,"Uhlmann Rd, Burpengary East"
702002101,Primary,Active,"Bruce Hwy, Burpengary"
702002201,Public Complaint,Active,"Buckley Rd, Burpengary East"
704110001,Primary,Active,"Warrego Hwy, Bowenville"
704400001,Primary,Active,"Mt Samson Rd, Dayboro"
704400002,Primary,Active,"Hay Rd, Dayboro"
704400003,Primary,Active,"Dayboro Rd, Rush Creek"
704401601,Primary,Active,"Mt Mee Rd (Brisbane-Woodford Rd), Dayboro"
704401602,Public Complaint,Active,"Hay Rd, Dayboro"
704401603,Public Complaint,Active,"Bradley St, Dayboro"
704401604,Public Complaint,Active,"McKenzie St, Dayboro"
704401605,School,Active,"McKenzie St, Dayboro"
704402101,Primary,Active,"Mt Mee Rd, King Scrub"
704410001,Primary,Active,"Dayboro Rd, Rush Creek"
704410002,Primary,Active,"Theodore Rd, Kurwongbah"
704420502,Primary,Active,"Boundary Rd, Dakabin/Narangba"
704421301,Primary,Active,"Oakey Flat Rd, Narangba"
704422301,Primary,Active,"New Settlement Rd, Narangba"
704422302,Primary,Active,"Young Rd, Narangba"
704422401,Primary,Active,"Burpengary Rd, Burpengary"
704430101,Primary,Active,"Boundary Rd, Dakabin/Narangba"
704430301,Primary,Active,"Bruce Hwy, Dakabin"
704430304,Primary,Active,"Bruce Hwy, North Lakes"
704431201,Primary,Active,"Bruce Hwy, Narangba"
704431202,Primary,Active,"Old Gympie Rd, Narangba"
704431501,Primary,Active,"Lipscombe Rd, Deception Bay"
704432001,Primary,Active,"Warroo Dr, Deception Bay"
704432002,Primary,Active,"Deception Bay Rd, Deception Bay"
704432003,Primary,Active,"Park Rd, Deception Bay"
704432101,Primary,Active,"New Settlement Rd, Burpengary"
704432202,Primary,Active,"Bruce Hwy, Narangba"
704432301,Primary,Active,"Deception Bay Rd, Deception Bay"
704432401,Primary,Active,"Zammit St, Deception Bay"
704432501,Primary,Active,"Old Bay Rd, Deception Bay"
704440302,Primary,Active,"Morris Rd, Rothwell"
704440303,Primary,Active,"Coman St S, Rothwell"
704440304,Primary,Active,"McGahey St, Rothwell"
704440401,Primary,Active,"Morris Rd, Rothwell"
704440501,Primary,Active,"Morris Rd, Rothwell"
704440502,Primary,Active,"Wattle Rd, Rothwell"
704440701,Primary,Active,"Webster Rd, Deception Bay"
704440702,Primary,Active,"Higgs St, Deception Bay"
704440703,Primary,Active,"Deception Bay Rd, Deception Bay"
704441101,Primary,Active,"Deception Bay Rd, Deception Bay"
704442101,Stake Holder,Active,"Bancroft Tce, Deception Bay"
704442102,Primary,Active,"Thompson St, Deception Bay"
704450301,Primary,Active,"Newport Dr, Newport"
704450302,Primary,Active,"Griffith Rd, Newport"
704450401,Primary,Active,"Griffith Rd, Newport"
704450402,Primary,Active,"Scarborough Rd, Scarborough"
704450403,Primary,Active,"Griffith Rd, Scarborough"
704450901,Primary,Active,"Scarborough Rd, Scarborough"
706560001,Primary,Active,"Warrego Hwy, Bowenville"
706762101,Primary,Active,"Esk-Hampton Rd, Esk"
706770001,Primary,Active,"Brisbane Valley Hwy, Moombra"
706840001,Primary,Active,"Mount Samson Rd, Samsonvale"
706850001,Primary,Active,"Dayboro Rd, Kurwongbah/Whiteside"
706860001,Primary,Active,"Dayboro Rd, Whiteside/Kurwongbah"
706860004,Primary,Active,"Beeville Rd, Petrie/Kurwongbah"
706860401,Primary,Active,"Dayboro Rd, Petrie"
706860402,Primary,Active,"Youngs Crossing Rd, Petrie"
706860501,Primary,Active,"Beeville Rd, Petrie"
706860502,Primary,Active,"Rue Montaigne, Petrie"
706861002,School,Active,"Macquarie Dr, Petrie"
706861003,Stake Holder,Active,"Macquarie Dr, Petrie"
706861004,School,Active,"Eucumbene Dr, Petrie"
706861005,Primary,Active,"Eucumbene Dr, Petrie"
706870101,Primary,Active,"Anzac Ave, Kallangur"
706870301,Primary,Active,"Goodfellows Rd, Murrumba Downs"
706870302,Primary,Active,"Dohles Rocks Rd, Murrumba Downs"
706870401,Primary,Active,"Goodfellows Rd, Murrumba Downs"
706870402,School,Active,"Goodfellows Rd, Murrumba Downs"
706870404,School,Active,"Ogg Rd, Murrumba Downs"
706870501,Primary,Active,"Brays Rd, Griffin"
706870502,Primary,Active,"Bruce Hwy, Murrumba Downs"
706870601,Primary,Active,"Marsden Rd, Kallangur"
706870602,Primary,Active,"Narangba Rd, Kallangur"
706870603,Primary,Active,"Dohles Rocks Rd, Kallangur"
706870604,Primary,Active,"Anzac Ave, Kallangur"
706870701,Primary,Active,"Old Gympie Rd, Kallangur"
706870702,Primary,Active,"Anzac Ave, Kallangur"
706870703,School,Active,"School Rd, Kallangur"
706870704,Primary,Active,"School Rd, Kallangur"
706870705,Primary,Active,"School Rd, Kallangur"
706870801,Primary,Active,"Anzac Ave, Kallangur"
706870802,Primary,Active,"Andrew St, Kallangur"
706870803,Primary,Active,"Goodfellows Rd, Kallangur"
706870901,Primary,Active,"Anzac Ave, Kallangur"
706871001,Primary,Active,"Bruce Hwy, Kallangur"
706871002,Primary,Active,"Brays Rd, Murrumba Downs"
706871003,Primary,Active,"Bruce Hwy, Murrumba Downs"
706871004,Primary,Active,"Anzac Ave, Kallangur"
706871006,Primary,Active,"Bruce Hwy, Griffin"
706871101,Primary,Active,"Marsden Rd, Kallangur"
706871201,Stake Holder,Active,"Old Gympie Rd, Kallangur"
706871202,Primary,Active,"Ann St, Kallangur"
706871301,Stake Holder,Active,"Brickworks Rd, Kallangur"
706871302,Primary,Active,"Andrew St, Kallangur"
706871401,Primary,Active,"Bruce Hwy, Kallangur "
706871402,Primary,Active,"Bruce Hwy, North Lakes"
706871501,Primary,Active,"Bruce Hwy, Kallangur"
706871502,Primary,Active,"Discovery Dr, North Lakes"
706871503,Primary,Active,"Endeavour Bvd, North Lakes"
706871504,Primary,Active,"Anzac Ave, Mango Hill"
706871601,Primary,Active,"Narangba Rd, Kurwongbah"
706871602,School,Active,"Marsden Rd, Dakabin"
706871603,School,Active,"Marsden Rd, Dakabin/Kallangur"
706871701,Primary,Active,"Whitehorse Rd, Dakabin/Kallangur "
706871801,Primary,Active,"Bruce Hwy, Dakabin"
706871901,Primary,Active,"Bruce Hwy, Kallangur"
706871902,Primary,Active,"Bruce Hwy, North Lakes"
706872201,Primary,Active,"Alma Rd, Dakabin"
706872203,School,Active,"Hughes Rd East, Dakabin"
706872301,Primary,Active,"Bruce Hwy, Dakabin"
706872501,Primary,Active,"Discovery Dr, North Lakes"
706881102,Primary,Active,"Anzac Ave, Mango Hill"
706881701,Primary,Active,"Anzac Ave, Mango Hill"
706882201,Primary,Active,"Anzac Ave, Mango Hill"
706882301,Primary,Active,"Anzac Ave, Rothwell"
706882302,Stake Holder,Active,"Warbrick Way, Rothwell"
706882501,Primary,Active,"Anzac Ave, Rothwell"
706882502,Primary,Active,"Anzac Ave, Rothwell"
706890101,Primary,Active,"Elizabeth Ave, Clontarf"
706890201,Primary,Active,"Hornibrook Esp, Clontarf"
706890301,Primary,Active,"Oxley Ave, Woody Point"
706890302,Primary,Active,"Hornibrook Esp, Woody Point"
706890401,Primary,Active,"Oxley Ave, Woody Point"
706890601,Primary,Active,"Snook St, Clontarf"
706890701,Primary,Active,"Maine Rd, Clontarf"
706890801,Primary,Active,"Victoria Ave, Margate"
706890802,Primary,Active,"Duffield Rd, Margate"
706891201,Primary,Active,"Snook St, Clontarf"
706891202,Primary,Active,"Macdonnell Rd, Clontarf"
706891301,Primary,Active,"Victoria Ave, Margate"
706891302,Primary,Active,"Victoria Ave, Redcliffe"
706891303,Primary,Active,"Macdonnell Rd, Margate"
706891401,Primary,Active,"Macdonnell Rd, Margate"
706891402,Primary,Active,"Oxley Ave, Redcliffe"
706891701,Primary,Active,"Elizabeth Ave, Kippa-Ring"
706891702,Primary,Active,"Snook St, Kippa-Ring"
706891703,Primary,Active,"Anzac Ave, Kippa-Ring"
706891801,Primary,Active,"Anzac Ave, Kippa-Ring"
706891802,Primary,Active,"Trilby St, Redcliffe"
706891803,Primary,Active,"Ashmole Rd, Redcliffe"
706891902,Primary,Active,"Anzac Ave, Redcliffe"
706891903,Primary,Active,"Oxley Ave, Redcliffe"
706892101,Primary,Active,"Anzac Ave, Kippa-Ring"
706892102,Primary,Active,"Anzac Ave, Kippa-Ring"
706892301,Primary,Active,"Klingner Rd, Redcliffe"
706892302,Primary,Active,"Ashmole Rd, Newport"
706892401,Primary,Active,"Oxley Ave, Redcliffe"
709230001,Primary,Active,"Northbrook Pkwy, Dundas"
709240001,Primary,Active,"Northbrook Pkwy, Dundas"
709240002,Primary,Active,"Northbrook Pkwy, Dundas"
709270001,Primary,Active,"Winn Rd, Mount Samson"
